SKU Prefix,Crop,Common Name,Variety,Description Line 1,Description Line 2,Description Line 3,Group,BACK 1,BACK 2,BACK 3,BACK 4,BACK 5,BACK 6,BACK 7,Days,Species,Radicchio Type
TOM-RF,"TOMATO, CHERRY",CHERRY TOMATO,Red Fig,*Ark of Taste Heirloom* High yielding,red pear w/late blight resistance. Indet.,,Tomato,Sow: 4-7 weeks before last frost,Transplant after danger of frost (PM Temp >45F),Planting Depth:  ¼”,Days to Germinate: 10-14 @ Soil Temp: 70-85F,Spacing after Thinning: 1.5-3’,Light: full sun,Notes: leggy/root-bound? Don’t start too early!,80-85 Days,Solanum lycopersicum,
TOM-SW,"TOMATO, CHERRY",CHERRY TOMATO,Snow White,"Highly productive, sunny yellow & bursting ",with sweetness! A farm favorite. Indet.,,Tomato,Sow: 4-7 weeks before last frost,Transplant after danger of frost (PM Temp >45F),Planting Depth:  ¼”,Days to Germinate: 10-14 @ Soil Temp: 70-85F,Spacing after Thinning: 1.5-3’,Light: full sun,Notes: leggy/root-bound? Don’t start too early!,70-75 Days,Solanum lycopersicum,
TOM-SO,"TOMATO, CHERRY",CHERRY TOMATO,Sweet Orange II,"Tons of very sweet, fruity & delicious orange ",cherries w/a long harvest period. Yum! Indet.,,Tomato,Sow: 4-7 weeks before last frost,Transplant after danger of frost (PM Temp >45F),Planting Depth:  ¼”,Days to Germinate: 10-14 @ Soil Temp: 70-85F,Spacing after Thinning: 1.5-3’,Light: full sun,Notes: leggy/root-bound? Don’t start too early!,75 Days,Solanum lycopersicum,
TOM-YP,"TOMATO, CHERRY",CHERRY TOMATO,Yellow Pear,Classic pear shaped golden cherry with ,meaty texture & strong vigorous vines. Indet.,,Tomato,Sow: 4-7 weeks before last frost,Transplant after danger of frost (PM Temp >45F),Planting Depth:  ¼”,Days to Germinate: 10-14 @ Soil Temp: 70-85F,Spacing after Thinning: 1.5-3’,Light: full sun,Notes: leggy/root-bound? Don’t start too early!,70-75 Days,Solanum lycopersicum,
TOM-FI,"TOMATO, PASTE",PASTE TOMATO,Fiaschetto di Manduria,Productive early plum for sauce/drying.," Treasure of Puglia, Italy. Det.",,Tomato,Sow: 4-7 weeks before last frost,Transplant after danger of frost (PM Temp >45F),Planting Depth:  ¼”,Days to Germinate: 10-14 @ Soil Temp: 70-85F,Spacing after Thinning: 1.5-3’,Light: full sun,Notes: leggy/root-bound? Don’t start too early!,65-70 Days,Solanum lycopersicum,
TOM-NR,"TOMATO, PASTE",PASTE TOMATO,Northern Ruby,"Excellent, early, & very productive for ",creamy sauce. Low growing & loaded! Det.,,Tomato,Sow: 4-7 weeks before last frost,Transplant after danger of frost (PM Temp >45F),Planting Depth:  ¼”,Days to Germinate: 10-14 @ Soil Temp: 70-85F,Spacing after Thinning: 1.5-3’,Light: full sun,Notes: leggy/root-bound? Don’t start too early!,70 Days,Solanum lycopersicum,
TOM-AN,"TOMATO, WINTER",WINTER TOMATO,Annarita,"""Pomodoro d'Inverno"" type from Puglia.",Saladette sized fruits store well into winter.,,Tomato,Sow: 4-7 weeks before last frost,Transplant after last frost (PM Temp >45F),Planting Depth:  ¼”   Light: full sun,Days to Germ: 10-14 @ Soil Temp: 70-85F,Spacing after Thinning: 1.5-3’,"For winter storage, harvest whole trusses",before fruits are fully ripe & hang in bundles,75 Days,Solanum lycopersicum,
WAT-BM,WATERMELON,,Blacktail Mountain,"Icebox sized, 4-8lbs, very early & sweet ",w/very few seeds. Delicious & refreshing!,,Cuke & Melon,Sow: 2-4 weeks before last frost,Transplant in early June once nights warm,Planting Depth: ½”,Days to Germinate: 4-7 @ Soil Temp: 75-90F ,Field Spacing 1.5 in rows or 3-5’ in hills,Light: full sun,Notes: likes high fertility and plenty of water,70-75 Days,Citrullus lanatus var. lanatus,
WAT-CO,WATERMELON,,Ҫekirdeği Oyali,Turkish variety w/sweet crisp red flesh., Seeds have an amazing “carved” patterning.,,Cuke & Melon,Sow: 2-4 weeks before last frost,Transplant in early June once nights warm,Planting Depth: ½”,Days to Germinate: 4-7 @ Soil Temp: 75-90F ,Field Spacing 1.5 in rows or 3-5’ in hills,Light: full sun,Notes: likes high fertility and plenty of water,85-90 Days,Citrullus lanatus,
WAT-JK,WATERMELON,,Janosik,Early maturing Polish variety w/juicy crisp ,yellow flesh & phenomenal sweet flavor. ,,Cuke & Melon,Sow: 2-4 weeks before last frost,Transplant in early June once nights warm,Planting Depth: ½”,Days to Germinate: 4-7 @ Soil Temp: 75-90F ,Field Spacing 1.5 in rows or 3-5’ in hills,Light: full sun,Notes: likes high fertility and plenty of water,80-85 Days,Citrullus lanatus,
WHE-BE,WHEAT,,Black Eagle,6-row spring wheat often grown as an ,ornamental. Black tinted w/graceful awns.,,Grain & Corn,"Sow: in spring, broadcast seed and rake in, ","or drill rows 8-12” apart, about 12-18 seeds/ft",Planting Depth: ½-1”,Light: Full sun,Cut plants at base when seed heads,"are mature, bundle, allow to dry.",Thresh or use as bouquet filler.,95 Days,Triticum aestivum,
WHE-EB,"WHEAT, EMMER",EMMER WHEAT,Ethiopian Blue Tinge,High yielding early variety w/bluish tinged ,berries & seedheads. Wonderfully flavorful!,,Grain & Corn,"Sow: in spring, broadcast seed and rake in, ","or drill rows 8-12” apart, about 12-18 seeds/ft",Planting Depth: ½-1”,Light: Full  sun,Cut plants at base when seed heads,"are mature, bundle, allow to dry.",Thresh or use as bouquet filler.,90-95 Days,Tritcum dicoccum,
SQU-BI,WINTER SQUASH,,Bitterroot Buttercup,"Montana bred, early buttercup var. ",Flakey/nutty; excellent for storage.,,Squash,Sow: 4 weeks before last frost,Transplant out after last frost,Planting Depth: 1”,Days to Germinate: 3-10 @ Soil Temp:  65-80F,Spacing after Thinning: 2-3’  ,Light: full sun    Fertility: moderate,"Notes: store in cool, dry location after curing",95 Days,Curcurbita maxima,
SQU-BF,WINTER SQUASH,,Black Forest Kabocha,Delicious rich & nutty taste w/pleasing ,flakey texture. 3-4 fruits on med. vines.,,Squash,Sow: 4 weeks before last frost,Transplant out after last frost,Planting Depth: 1”,Days to Germinate: 3-10 @ Soil Temp: 65-80F,Spacing after Thinning: 2-3’  ,Light: full sun    Fertility: moderate,"Notes: store in cool, dry location after curing",90 Days,Curcurbita maxima,
SQU-FU,WINTER SQUASH,,Black Futsu,2-3lb ribbed fruits ripen from green-,"chestnut, w/fine texture & fruity flavor.",,Squash,Sow: 4 weeks before last frost,Transplant out after last frost,Planting Depth: 1”,Days to Germinate: 3-10 @ Soil Temp: 65-80F,Spacing after Thinning: 2-3’  ,Light: full sun    Fertility: moderate,"Notes: store in cool, dry location after curing",100 Days,Cucurbita moschata,
SQU-BB,WINTER SQUASH,,Burpee's Butterbush,Early maturing bush butternut variety.,Deep orange fruit w/tiny seed cavities. ,,Squash,Sow: 4 weeks before last frost,Transplant out after last frost,Planting Depth: 1”,Days to Germinate: 3-10 @ Soil Temp: 65-80F,Spacing after Thinning: 2-3’  ,Light: full sun    Fertility: moderate,"Notes: store in cool, dry location after curing",95-100 Days,Cucurbita moschata,
SQU-MG,WINTER SQUASH,,Marine Grey Kabocha,Grey-green medium-sized 2.5-3lb ,kabocha type w/rich & sweet flaky flesh.,,Squash,Sow: 4 weeks before last frost,Transplant out after last frost,Planting Depth: 1”,Days to Germinate: 3-10 @ Soil Temp: 65-80F,Spacing after Thinning: 2-3’  ,Light: full sun    Fertility: moderate,"Notes: store in cool, dry location after curing",90 Days,Cucurbita maxima,
SQU-PO,WINTER SQUASH,,Potimarron,Teardrop-shaped w/deep red-orange,flesh & chestnut flavor. French var.,,Squash,Sow: 4 weeks before last frost,Transplant out after last frost,Planting Depth: 1”,Days to Germinate: 3-10 @ Soil Temp: 65-80F,Spacing after Thinning: 2-3’  ,Light: full sun    Fertility: moderate,"Notes: store in cool, dry location after curing",80-90 Days,Cucurbita pepo,
SQU-SM,WINTER SQUASH,,Oregon Homestead Sweet Meat,"Sweet, dry flesh excellent for eating! ","Vigorous vines, huge squash, long keeper. ",,Squash,Sow: 4 weeks before last frost,Transplant out after last frost,Planting Depth: 1”,Days to Germinate: 3-10 @ Soil Temp: 65-80F,Spacing after Thinning: 2-3’  ,Light: full sun    Fertility: moderate,"Notes: store in cool, dry location after curing",100-115 Days,Cucurbita pepo,
SQU-ZE,WINTER SQUASH,,Zeppelin Delicata,"Popular, sweet & creamy 1-lb. squashes are ",perfect to roast and share between two.,,Squash,Sow: 4 weeks before last frost,Transplant out after last frost,Planting Depth: 1”,Days to Germinate: 3-10 @ Soil Temp: 65-80F,Spacing after Thinning: 2-3’  ,Light: full sun    Fertility: moderate,"Notes: store in cool, dry location after curing",90-100 Days,Cucurbita pepo,
SQU-ZM,WINTER SQUASH,,Zucca Mantovana,Slate blue turban type from N Italy. ,Thick fleshed w/delicious nutty flavor.,,Squash,Sow: 4 weeks before last frost,Transplant out after last frost,Planting Depth: 1”,Days to Germinate: 3-10 @ Soil Temp: 65-80F,Spacing after Thinning: 2-3’  ,Light: full sun    Fertility: moderate,"Notes: store in cool, dry location after curing",100 Days,Cucurbita pepo,
PUM-HO,"WINTER SQUASH, PUMPKIN",PUMPKIN,Howden,"Classic, bright orange jack-o-lantern ",pumpkins that average 15lbs. Prolific!,,Squash,Sow: 4 weeks before last frost,Transplant out after last frost,Planting Depth: 1”,Days to Germinate: 3-10 @ Soil Temp: 65-80F,Spacing after Thinning: 2-3’  ,Light: full sun    Fertility: moderate,"Notes: store in cool, dry location after curing",110 Days,Cucurbita pepo,
PUM-LP,"WINTER SQUASH, PUMPKIN",PUMPKIN,Long Pie,Bright orange & cylindrical w/fine flesh. ,"Highly productive, so get baking!",,Squash,Sow: 4 weeks before last frost,Transplant out after last frost,Planting Depth: 1”,Days to Germinate: 3-10 @ Soil Temp: 65-80F,Spacing after Thinning: 2-3’  ,Light: full sun    Fertility: moderate,"Notes: store in cool, dry location after curing",95 Days,Cucurbita pepo,
PUM-ST,"WINTER SQUASH, PUMPKIN",PUMPKIN,Styrian Hull-less,Vigorous vines w/10-15lb fruits. The ,seeds (“pepitas”) are your tasty reward!,,Squash,Sow: 4 weeks before last frost & transplant,after last frost. Planting depth: 1”,Days to Germinate: 3-10 @ Soil Temp:  65-80F,Spacing after Thinning: 2-3’,Light: Full sun    Fertility: Moderate,Notes: keep only wet enough to germinate;,seeds rot very easily. Dry seeds & enjoy pepitas.,90-105 Days,Cucurbita pepo,
PUM-WL,"WINTER SQUASH, PUMPKIN",PUMPKIN,Winter Luxury,Produces 3-4 fruits at 6-9lbs each. ,"Rich, sweet, silky smooth flesh. P.I.E.!",,Squash,Sow: 4 weeks before last frost,Transplant out after last frost,Planting Depth: 1”,Days to Germinate: 3-10 @ Soil Temp: 65-80F,Spacing after Thinning: 2-3’  ,Light: full sun    Fertility: moderate,"Notes: store in cool, dry location after curing",90-100 Days,Cucurbita pepo,
HER-BC,NIGELLA SATIVA,,Black Cumin,*Medicinal/Culinary* 8-12” potent Middle ,Eastern herb professed to cure all but death! ,,Herb,Sow: 2-4 wks before last frost,Transplant 2-4 wk starts or direct seed,Planting Depth: 1/8”,Days to germinate: 10-15 @ Soil temp: 60-75F,Spacing after thinning: 8”,Light: full to part sun,Notes: allow pods to dry for harvesting seed,60-70 Days,Nigella sativa,
HER-GC,GERMAN CHAMOMILE,GERMAN CHAMOMILE,German Chamomile,*Medicinal* Cheerful daisy-like flowers ,"used as a calming, digestive tea. ","Wonderful, familiar fragrance. 1.5-2’.",Herb,Sow: 3-4 wks before last frost or direct sow,Transplant or direct seed,Planting depth: surface,Days to germ: 6-12 @ Soil temp: 55-60F,Spacing after Thinning: 6-8”,Light: full sun,Notes: will self seed. Make some tea!,65-75 Days,Matricaria recutita,
HER-EC,ECHINACEA,ECHINACEA,Echinacea,*Medicinal* Immune booster! ,This North American native has fuchsia ,flowers that attract pollinators.,Herb,Sow: 8-10 weeks before last frost,Transplant or direct seed,Planting depth: 1/4-1/2”,Days to Germ: 10-20 @ Soil Temp: 70F,Spacing  after Thinning: 12-18”,Light: full sun,Easy to grow Perennial. July-Sept blooms.,Perennial,Echinacea purpurea,
HER-IL,BASIL,,Italian Large Leaf,"Large, lovely Genovese-type basil. Tender, ",sweetly fragrant leaves. Make pesto!,,Herb,Sow: 4-6 wks before last frost or direct sow,Transplant starts or direct sow after last frost,Planting Depth: ¼”-½“,Days to Germinate: 7-14 @ Soil Temp: 70-90F,Spacing after Thinning: 8-12” (up to  24” tall),Light: full sun,Pinch off flower heads to keep productive,70-80 Days,Ocimum basilicum,
HER-TU,"BASIL, SACRED",TULSI (Sacred Basil),Tulsi (Sacred Basil),India’s “Queen of Herbs”.,Immune boosting tonic herb in the,Ayurvedic tradition. Lovely for tea.,Herb,Sow: 4-6 wks before last frost or direct sow,Transplant/direct sow after last frost,Planting Depth: ¼”-½“,Days to Germ: 7-14 @ Soil Temp: 70-90F,Spacing after Thinning: 8-12” ,Light: full sun,Pinch off flower heads to keep productive,80-100 Days,Ocimum basilicum,
HER-PJ,CILANTRO,,Pokey Joe,*Rare* The best tasting variety of  ,cilantro we know of!! Slow to bolt.,,Herb,Direct Sow: spring-late summer,Planting Depth: ¼-½”,Days to Germ: 7-14 @ Soil Temp: 55-75F,Spacing after Thinning: 4-6”,Light: Full/part sun  Fertility: Moderate,Cooler weather conditions slow bolting,,50 Days,Coriandrum sativum,
HER-GK,DILL,,Goldkrone,Great for fresh leaf & seedheads. ,Slow to bolt & stunning in bouquets!,,Herb,Sow: indoors 4 wks before last frost,Transplant or direct sow after last frost,Sowing Depth: ¼”,Days to Germ: 7-21 @ Soil Temp: 60-70F,Spacing after Thinning: 6-8”,Light: full sun,Transplant gently to avoid early bolting,45 Days,Anethum graveolens,
HER-AH,LICORICE MINT,ANISE HYSSOP,Anise Hyssop,*Medicinal* aka Licorice Mint.,Produces sweet-smelling violet blooms,that attract beneficial insects! Divine!,Herb,Sow: in flats 4-6 weeks before last frost,Transplant/direct seed after last frost,Planting Depth: ⅛”,Days to Germ: 7-16 @ Soil Temp: 70-80F,Spacing after Thinning: 8-12”,Light: full sun. Perennial.,Attractive to bees. Makes lovely tea.,65 Days,Agastache foeniculum,
HER-HY,HYSSOP,HYSSOP,Hyssop,*Medicinal* Perennial herb with deep violet ,flower spikes. Make tea and cough syrup ,"w/ aerial parts to treat colds, sore throats…",Herb,Sow: in flats 6-8 weeks before last frost,Transplant or direct seed after danger of frost,Planting Depth: 1/2”,Days to Germinate: 7-20 @ Soil Temp: 60-70F,Spacing after Thinning: 8-12”,Light: full sun. Perennial.,"Note: attracts bees, butterflies & hummingbirds.",Perennial,Hyssopus officinalis,
HER-MT,MARIGOLD,,Mexican Tarragon,Lovely tarragon/anise flavor & aroma.,Leaves & vibrant yellow flowers are edible.,,Herb,Sow: 6-8 wks before last frost,Transplant after last frost or direct seed,Planting depth: ⅛” ,Days to Germ: 4-14 days @ Soil Temp: 65-80F,Space after Thinning: 8-12” (16-24” plants),Light: full sun,Hardy zones 8-11. Pinch back to aid branching.,80-90 Days,Tagetes spp.,
HER-MA,MARSHMALLOW,MARSHMALLOW,Marshmallow,*Medicinal*, 5-7’ herb w/lovely white flowers ,& soft green leaves. Gentle expectorant. ,Herb,Direct sow in spring,Planting depth: ¼” ,Days to germinate: 14-20 @ Soil temp: 50-60F,Spacing after thinning: 12” (5-8’ tall),Light: full sun tp part shade,"Notes: water regularly. Leaf, stem, ",flower & root used in herbal medicine,Perennial,Althaea officinalis,
HER-ME,NEPITELLA,,Mentuccia Romana,Italian culinary herb w/flavor akin to ,oregano & mint. Pollinator favorite!!,,Herb,Sow: in flats 12 weeks before last frost,Transplant/direct seed early-spring or fall,Planting Depth: barely cover,Days to Germ: 10-15 @ Soil Temp: 60-85F,Spacing after Thinning: 12”,Light: full sun ,Use to season mushroom dishes & tea,Perennial,Calamintha nepeta,
HER-MP,"PARSLEY, FLATLEAF",FLATLEAF PARSLEY,Mersin,Turkish variety w/fernlike stems &,"a nice, pungent floral aroma. ",,Herb,Sow: in flats 5-6 weeks before last frost,Transplant or direct seed in mid-spring,Planting Depth: ¼”,Days to Germ: 10-30 @ Soil Temp: 60-70F,Spacing after Thinning: 12”,Light: full sun ,Notes: hardy biennial,75 Days,Petroselinum crispum,
HER-SC,CULINARY HERBS,,Sculpit (Stridolo),Rare aromatic herb from N. Italy ,w/white fringed balloon flowers.,,Herb,Transplant recommended (spring) ,Planting Depth: cover seed lightly,Days to Germ: 7-10 @ Soil Temp: 55-75F,Spacing after Thinning: 8-12”. ,Light: Full sun to part shade  Fertility: Mod.,Best eating quality before flowering. ,Loved by the bumblebees!  ,Perennial,Silene inflata,
HER-BF,TRIGONELLA,,Blue Fenugreek,Strong maple aroma & mild flavor.,"Excellent on pizza, in bread/cheese.",,Herb,Sow: early-mid spring,Transplant or direct sow after last frost,Planting Depth: ¼”,Days to Germ: 5-10 @ Soil Temp: 55-65F,Spacing after Thinning: 12”  Full sun,"Can be dried for use in cheeses, dips, ","bread, soups, tea. Fresh on pizza!",50-60 Days,Trigonella foenum-graecum,
ACH-DD,PEARL YARROW,,Double Diamond,Stunning bright white doubled blooms on ,2.5’ mounded foliage. Perennial pollinator fav!,,Flower,Sow: 10-12 wks before last frost,Transplant out after last frost ,Planting depth: surface; light aids germ,Days to germinate: 7-14 @ Soil temp: 65-75F,Spacing after thinning: 12-16”,Light: sun to part shade,Bottom water in flats. Blooms 1st year!,Perennial,Achillea millefolium,
ACH-LP,SIBERIAN YARROW,,Love Parade,Dense clusters of blush-pink blooms w/pale ,"yellow stamens! Hardy perennial, grows 2-2.5'",,Flower,Sow: 10-12 wks before last frost,Transplant out after last frost ,Planting depth: surface; light aids germ,Days to germinate: 7-14 @ Soil temp: 65-75F,Spacing after thinning: 12-16”,Light: full sun to part shade,Bottom water in flats. Blooms 1st year!,Perennial,Achillea millefolium,
AMA-CF,AMARANTH,,Coral Fountains,"Cascading blooms of coral-pink on sturdy, ","branching, 4’ plants. Stunning cut flower.",,Flower,Sow: 4-6 wks before last frost,Transplant/direct seed after last frost,Planting Depth: ⅛”,Days to Germinate: 7-10 @ Soil Temp: 70-80F,Spacing after Thinning: 12-15”,Light: full sun,Grows slowly until warm weather. Edible seed.,60-70 Days,Amaranthus caudatus,
AMA-EH,AMARANTH,,Elephant's Head,Stately 4.5-5’ tall plants bloom in ,towering burgundy spires. Sensational!,,Flower,Sow: 4-6 wks before last frost,Transplant/direct seed after last frost,Planting Depth: ⅛”,Days to Germinate: 7-10 @ Soil Temp: 70-80F,Spacing after Thinning: 12-15”,Light: full sun,Grows slowly until warm weather. Edible seed.,90 Days,Amaranthus sp.,
AMA-HB,AMARANTH,,Hot Biscuits,"Warm, golden copper upright plumes on ",4’ plants. Gorgeous/plentiful cut flower.,,Flower,Sow: 4-6 wks before last frost,Transplant/direct seed after last frost,Planting Depth: ⅛”,Days to Germinate: 7-10 @ Soil Temp: 70-80F,Spacing after Thinning: 12-15”,Light: full sun,Grows slowly until warm weather. Edible seed.,80 Days,Amaranthus sp.,
AMA-LL,AMARANTH,,Love Lies Bleeding,"Graceful 3-4’ plants w/long, trailing, ",burgundy blooms. Dramatic cut flower.,,Flower,Sow: 4-6 wks before last frost,Transplant/direct seed after last frost,Planting depth: ⅛”,Days to Germinate: 7-10 @ Soil Temp: 70-80F,Spacing after Thinning: 12-15”,Light: full sun,Notes: slow growing until weather warms,60-70 Days,Amaranthus sp.,
AMA-OP,AMARANTH,,Opopeo,Striking deep burgundy plumes to 6’. ,Edible leaves & excellent seed producer.,,Flower,Sow: 4-6 wks before last frost,Transplant/direct seed after last frost,Planting Depth: ⅛”,Days to Germinate: 7-10 @ Soil Temp: 70-80F,Spacing after Thinning: 12-15”,Light: full sun,Grows slowly until warm weather. Edible seed.,60-65 Days,Amaranthus sp.,
AMA-SU,AMARANTH GREENS,,Suriname Callaloo,"Tender, young, nutrient-dense greens for ",mixes or a nourishing pot of callaloo!,,Greens,Sow: 4-6 wks before last frost,Transplant/direct seed after last frost,Planting Depth: ⅛”,Days to Germ: 7-10 @ Soil Temp: 70-80F,Spacing after Thinning: 12-15”,Light: full sun,Slow growing until warm weather. Re-seeds.,50 Days,Amaranthus sp.,
BAB-BB,BACHELOR'S BUTTON,,Black Ball,Stunning dark garnet edible blooms on 3-4’ ,plants w/silvery foliage. Cheerful cut flower.,,Flower,Direct sow or transplant after last frost,Planting Depth: ½”,Days to Germinate: 7-14 @ Soil Temp: 60-70F,Spacing after Thinning: 6-10”,Light: Full sun,Water: low to moderate,Notes: edible flowers. Great at attracting bees.,60 Days,Centaurea cyanus,
BAB-FB,BACHELOR'S BUTTON,,Florist Blue Boy,"Cheery icy-blue, edible flowers on 2-3’ plants. ",Excellent in bouquets/rich color when dry.,,Flower,Direct sow or transplant after last frost,Planting Depth: ½”,Days to Germinate: 7-14 @ Soil Temp: 60-70F,Spacing after Thinning: 6-10”,Light: Full sun,Water: low to moderate,Edible flowers. Great at attracting bees.,60 Days,Centaurea cyanus,
BFL-AB,Basket Flower,,Aloha Blanca,Latticework buds followed by creamy white ,blossoms open to huge fluffy blooms. 5-7’!,,Flower,"Sow: 4-6 weeks before last frost, cover lightly",Transplant or direct seed after last frost,Planting Depth: 1/8”,Days to Germinate: 14-21 @ Soil Temp: 60-70F,Thin to 16”       Light: full to part sun,Requires support. Deadhead to extend the season.,Cut/come again/dry! Holds in vase for 5 days.,90-100 Days,Centaurea americana,
FLO-BO,BORAGE,BORAGE,Borage,Edible young leaves and starry blue ,flowers with mild cucumber taste. ,Loved by bees! 2-3’ re-seeding annual.,Flower,Sow: 4-6 weeks before last frost  ,Transplant/direct seed after last frost,Planting Depth: 1”,Days to Germ: 7-14 @ Soil Temp: 60-75F,Spacing after Thinning: 12”,Light: full sun,Edible flowers/young leaves,60-70 Days,Borage officinalis,
FLO-ED,EDIBLE FLOWER MIX,EDIBLE FLOWER MIX,Edible Flower Mix,"An equal parts mix of borage, ","calendula, bachelor’s button & ",nasturtiums to gussy up your cuisine!,Flower,Sow: after last frost,Direct seed or transplant,Sow in rows 12” apart,Thin to a final spacing of 12-18”,May self sow ,Sprinkle liberally on all your meals & desserts,,60-70 Days,,
FLO-SA,SAINFOIN,SAINFOIN,Sainfoin,"Pink, lupine-like, nectar & pollen-rich ",spires beloved by bees! Leguminous plant ,w/long history in pasture/grazing rotations.,Flower,Sow: spring,Transplant or direct seed,Planting depth: ½”,Days to Germ: 7-14 days @ Soil Temp: 55-75F,Space after Thinning:6-12” ,Light: full sun,Draught hardy. Attracts bees/insects. N fixer.,80 Days,Onobrychis viciifolia,
BUP-GG,BUPLEURUM,,Green Gold,Radiant chartreuse umbels & waxy foliage ,define this striking filler/standalone beauty!,,Flower,Sow: early spring,Transplant 6-8 wk starts or direct seed ,Planting Depth: ¼”,Days to Germinate: 14-21 @ Soil Temp: 60F,Spacing after Thinning: 10-12”,Light: full sun/part shade,Well-drained soil. Beautiful fresh/dried. 2-3’.,77-90 Days,Bupleurum rotundifolium,
CAL-MX,CALENDULA,CALENDULA MIX,Calendula Mix,It’s hard to be grumpy in a patch ,"of calendula! Oranges, yellows, whites",& flashback types for daily cheer.,Flower,Sow: 4-6 weeks before last frost,Transplant/direct seed after last frost,Planting Depth: ¼”,Days to Germ: 7-14 @ Soil Temp: 60-85F,Spacing after Thinning: 6-10”,Light: full sun,Notes: hardy reseeding annual,55 Days,Calendula officinalis,
CAL-ZE,CALENDULA,,Zeolights,"Fully doubled, creamy apricot-peach ",blooms w/maroon petal-backs. ,,Flower,Sow: 4-6 weeks before last frost,Transplant or direct seed after last frost,Planting Depth: ¼”,Days to Germinate: 7-14 @ Soil Temp: 60-85F,Spacing after Thinning: 6-10”,Light: full sun,Notes: hardy reseeding annual,60 Days,Calendula officinalis,
CEL-RP,CELOSIA,,Ruby Parfait,Feathery magenta plumes on strong ,stems. Long blooming & striking.,,Flower,Sow: in flats 6-8 weeks before last frost,Transplant out after last frost,Sow on Surface (requires light to germ),Days to Germ: 7-14 @ Soil Temp: 70-80F,Spacing after Thinning: 8-12”. ,Light: full sun,Excellent cut flower both fresh and dried.,90-95 Days,Celosia argentea,
CEL-SC,CELOSIA,,Supercrest and Friends,"A fun cross between tall fans, short","heading, & spikes. Lavish colors!",,Flower,Sow: in flats 6-8 weeks before last frost,Transplant out after last frost,Sow on Surface (requires light to germ),Days to Germ: 7-14 @ Soil Temp: 70-80F,Spacing after Thinning: 8-12”. ,Light: full sun,Notes: excellent cut flower both fresh and dried,90-110 Days,Celosia argentea,
CER-PG,CERINTHE,,Pride of Gibraltar,Silvery-purple tipped leaves with cascading ,indigo/magenta flowers. Beautiful!,,Flower,Sow: 4-6 weeks before last frost *soak 1hr* ,Transplant or direct seed after last frost,Planting Depth: ⅛” ,Days to Germinate: 5-21 @ Soil Temp: 65-75F,Spacing after Thinning: 10-12” (24-48” tall),Light: full to part sun,Drought tolerant but appreciates water/rich soil,50-60 Days,Cerinthe major,
AST-HP,CHINA ASTER,,Hot Pants,Get your hot pants on! Prolific & deep pink ,needle/quill type blooms w/long stems. 2.5-3’,,Flower,Sow: 6-8 wks before last frost,Transplant after danger of frost,Planting Depth: ¼”,Days to Germinate: 10-14 @ Soil Temp: 70F,Spacing after Thinning: 12”,Light: full sun,Notes: benefits from support,110-120 Days,Callistephus chinensis,
AST-TC,CHINA ASTER,,Tower Chamois,Breathtaking & prolific salmon/pink peony-,type blooms w/long stems for cutting. ,,Flower,Sow: 6-8 wks before last frost,Transplant after danger of frost,Planting Depth: ¼”,Days to Germinate: 10-14 @ Soil Temp: 70F,Spacing after Thinning: 12”,Light: full sun,Notes: benefits from support; 2.5-3’,100-120 Days,Callistephus chinensis,
AST-HH,CHINA ASTER,,Hazaster Hagen Light Blue,Blue/lilac 'spider aster' with,slender petals and creamy centers.,,Flower,Sow: 6-8 wks before last frost,Transplant after danger of frost,Planting Depth: ¼”,Days to Germinate: 10-14 @ Soil Temp: 70F,Spacing after Thinning: 12”,Light: full sun,Notes: Benefits from support.,100-120 Days,Callistephus chinensis,
CLE-VQ,CLEOME,,Violet Queen,Showy whorls of purple blooms.,"Irresistible to bees, hummingbirds… 4-6’.",,Flower,Sow: spring-early summer,Transplant or direct seed,Planting Depth: ¼”,Days to Germinate: 10-14 @ Soil Temp: 75F,Spacing after Thinning: 2’,Light: full sun,Notes: pre-chill seed 5-10 days. Thorny!,70-80 Days,Cleome spinosa,
CLB-BL,COLUMBINE,,Black Barlow,"Deep, dark & moody cut flower w/graceful ",double blooms. Flowers 2nd year.,,Flower,Sow: indoors 8-10 weeks before last frost,Transplant after last frost,Planting Depth: barely covered,Days to Germinate: 21-28 @ Soil Temp: 70F,Spacing: 8-12’,Light: prefers part shade,Pre-chill seed 3 wks in fridge to break dormancy,Perennial,Aquilegia sp.,
CLB-BB,COLUMBINE,,Bordeaux Barlow,Deep ruby doubled ‘spur-less’ blooms ,on airy stems. Blooms spring of 2nd year.,,Flower,Sow: indoors 8-10 weeks before last frost,Transplant after last frost,Planting Depth: barely covered,Days to Germinate: 21-28 @ Soil Temp: 70F,Spacing: 8-12’,Light: prefers part shade,Pre-chill seed 3 wks in fridge to break dormancy,Perennial,Aquilegia sp.,
CLB-LS,COLUMBINE,,Longspur,Golden blooms w/long tails flit like, shooting stars above rosettes of foliage. Up to 3',,Flower,Sow: indoors 8-10 weeks before last frost,Transplant after last frost,Planting Depth: barely covered,Days to Germinate: 21-28 @ Soil Temp: 70F,Spacing: 8-12’,Light: prefers part shade,Pre-chill seed 3 wks in fridge to break dormancy,Perennial,Aquilegia sp.,
